(,884)
(,728)
(,488)
(,1040)
(,1136)
(,8)
(463,500)
(,272)
(,716)
(,104)
(,464)
(,896)
(,128)
(2727,908)
(,920)
(,1052)
(,1124)
(,512)
(,260)
(,248)
(2291,704)
(1203,116)
(1203,116)
(1475,116)
(579,116)
(1035,116)
(763,116)
(1479,116)
(,824)
(2835,944)
(2835,944)
(2835,944)
(2835,944)
(2835,944)
(2835,944)
(,788)
(763,548)
(1995,548)
(1995,548)
(1995,548)
(1995,548)
(,212)
(,560)
(,992)
(,776)
(,164)
(,428)
(,416)
(,188)
(,836)
(,956)
(,200)
(7,572)
(383,572)
(915,572)
(2039,572)
(895,572)
(2043,572)
(2043,572)
(,764)
(,980)
(,176)
(1655,404)
(1659,404)
(1663,404)
(,968)
(,1016)
(,392)
(,1028)
(,812)
(,20)
(,1148)
(,224)
(,608)
(,152)
(,620)
(,344)
(,368)
(2915,1004)
(2919,1004)
(2915,1004)
(2923,1004)
(2927,1004)
(2931,1004)
(1007,1004)
(2935,1004)
(1007,1004)
(2887,1004)
(,380)
(,800)
(,32)
(,236)
(,752)
(899,140)
(923,140)
(2135,632)
(2135,632)
(2135,632)
(763,632)
(2139,632)
(2139,632)
(2143,632)
(1631,356)
(,872)
(,1100)
(1955,536)
(,668)
(,440)
(1587,332)
(1591,332)
(1031,332)
(1595,332)
(1571,332)
(,1088)
(2171,656)
(2175,656)
(,80)
(,284)
(,56)
(,680)
(3067,1076)
(3071,1076)
(2487,860)
(2487,860)
(2487,860)
(1035,860)
(763,860)
(1207,860)
(2491,860)
(2471,848)
(2475,848)
(,1112)
(1935,524)
(1559,308)
(387,308)
(,644)
(,92)
(299,296)
(563,296)
(1311,44)
(1315,44)
(1311,44)
(,692)
(,1064)
