(,225)
(,741)
(,153)
(2091,621)
(,609)
(1035,345)
(,393)
(,813)
(,21)
(2915,1005)
(2919,1005)
(2915,1005)
(2923,1005)
(2927,1005)
(2931,1005)
(1007,1005)
(2935,1005)
(1007,1005)
(2887,1005)
(2067,597)
(2063,597)
(,237)
(,753)
(,141)
(,633)
(1631,357)
(,381)
(,801)
(,33)
(,1017)
(2943,1029)
(2943,1029)
(,585)
(,1149)
(,285)
(,57)
(,681)
(,1113)
(1743,441)
(915,441)
(1747,441)
(895,441)
(1751,441)
(1755,441)
(1587,333)
(1591,333)
(1031,333)
(1595,333)
(1571,333)
(,657)
(,81)
(,537)
(,669)
(1279,873)
(,1065)
(1543,297)
(1547,297)
(1543,297)
(1547,297)
(55,45)
(1319,45)
(1323,45)
(51,45)
(51,45)
(55,45)
(55,45)
(1327,45)
(1331,45)
(1323,45)
(1335,45)
(2275,693)
(2279,693)
(2275,693)
(2275,693)
(2283,693)
(2283,693)
(1059,1101)
(1159,1101)
(1163,1101)
(875,1101)
(447,1101)
(1035,1101)
(911,1101)
(1011,1101)
(1167,1101)
(1111,1101)
(1171,1101)
(763,1101)
(1075,1101)
(1111,1101)
(1175,1101)
(1179,1101)
(1183,1101)
(863,1101)
(895,1101)
(715,1101)
(1187,1101)
(1191,1101)
(387,1101)
(1195,1101)
(1131,453)
(571,453)
(1839,453)
(,321)
(,309)
(2151,645)
(,93)
(3095,1089)
(3099,1089)
(3103,1089)
(351,1089)
(3107,1089)
(899,1089)
(3111,1089)
(,525)
(2479,849)
(1203,861)
(1203,861)
(763,861)
(2495,861)
(2495,861)
(2499,861)
(3075,1077)
(1475,1077)
(607,1077)
(1035,1077)
(763,1077)
(3079,1077)
(3079,1077)
(,501)
(,273)
(,717)
(,105)
(,1053)
(,933)
(,1125)
(,489)
(,885)
(,729)
(,249)
(,513)
(,261)
(2291,705)
(,117)
(2951,1041)
(2955,1041)
(2959,1041)
(2963,1041)
(763,1041)
(2967,1041)
(2971,1041)
(2975,1041)
(2979,1041)
(2747,921)
(1475,909)
(1035,909)
(763,909)
(3167,1137)
(,465)
(,129)
(,897)
(,417)
(,213)
(299,561)
(1539,561)
(1551,549)
(1555,549)
(,777)
(,993)
(,165)
(,429)
(,825)
(1195,945)
(,789)
(,969)
(,405)
(,9)
(,201)
(7,573)
(383,573)
(915,573)
(2039,573)
(895,573)
(2043,573)
(2043,573)
(,981)
(,765)
(,177)
(,837)
(,189)
(,957)
