(1692,427)
(1696,427)
(1700,427)
(1704,427)
(1708,427)
(1712,427)
(1716,427)
(1720,427)
(1724,427)
(2084,631)
(2084,631)
(2084,631)
(1180,631)
(2088,631)
(1204,547)
(568,547)
(1996,547)
(2448,811)
(2272,691)
(2728,907)
(2888,1135)
(2164,655)
(2168,655)
(2168,655)
(1588,331)
(1592,331)
(1520,331)
(1088,319)
(1576,319)
(1204,115)
(284,115)
(1180,115)
(1476,115)
(1480,115)
(896,895)
(2680,895)
(2532,895)
(2684,895)
(68,103)
(1460,103)
(3064,1075)
(1632,1063)
(876,139)
(1560,307)
(320,307)
(1192,307)
(2460,823)
(2836,943)
(732,943)
(1220,7)
(1224,7)
(1228,7)
(1232,7)
(1236,7)
(1240,7)
(1244,7)
(1248,7)
(1252,7)
(1204,799)
(1180,799)
(2896,1003)
(2912,1003)
(2884,1003)
(2888,1003)
(1656,403)
(1660,403)
(1656,403)
(1268,19)
(1068,19)
(1272,19)
(1276,19)
(984,19)
(984,19)
(1068,19)
(1304,31)
(1308,31)
(1180,31)
