(,504)
(,276)
(,84)
(,672)
(,840)
(,288)
(2999,936)
(1207,936)
(1035,936)
(607,936)
(1203,936)
(,1092)
(,300)
(,516)
(,264)
(,96)
(,1068)
(,660)
(,648)
(,852)
(2895,924)
(2899,924)
(1171,924)
(2895,924)
(2903,924)
(2907,924)
(2895,924)
(447,1080)
(3227,1080)
(1539,312)
(1543,312)
(1547,312)
(1507,312)
(,528)
(1271,24)
(1275,24)
(1279,24)
(1203,24)
(,360)
(1575,348)
(1203,348)
(1203,348)
(,228)
(,216)
(1971,564)
(,1152)
(1007,996)
(3051,996)
(3051,996)
(3055,996)
(3059,996)
(3063,996)
(1007,996)
(3067,996)
(3071,996)
(3075,996)
(1203,996)
(,1032)
(2027,612)
(607,612)
(1035,612)
(1203,612)
(,36)
(1059,372)
(1159,372)
(1163,372)
(875,372)
(447,372)
(1035,372)
(911,372)
(1011,372)
(1167,372)
(1111,372)
(1171,372)
(763,372)
(1075,372)
(1111,372)
(1175,372)
(1179,372)
(1183,372)
(863,372)
(895,372)
(715,372)
(1187,372)
(1191,372)
(387,372)
(1195,372)
(,204)
(,576)
(,1140)
(1183,984)
(915,984)
(363,984)
(3047,984)
(915,984)
(915,984)
(363,984)
(3047,984)
(387,984)
(1203,984)
(3087,1020)
(1011,1020)
(379,1020)
(719,1020)
(1135,1008)
(1007,1008)
(3083,1008)
(1007,1008)
(3075,1008)
(1203,1008)
(,600)
(,588)
(,552)
(,744)
(,156)
(2051,624)
(2055,624)
(2059,624)
(2063,624)
(2067,624)
(2071,624)
(2075,624)
(2079,624)
(2083,624)
(2051,624)
(2071,624)
(2051,624)
(2027,624)
(2087,624)
(1195,624)
(1191,624)
(1647,432)
(1647,432)
(1651,432)
(1647,432)
(1647,432)
(1655,432)
(,396)
(,180)
(,816)
(131,792)
(2579,792)
(,960)
(,948)
(,12)
(2611,828)
(,168)
(,540)
(,756)
(,144)
(,636)
(1611,420)
(1615,420)
(1611,420)
(,408)
(2583,804)
(2587,804)
(2583,804)
(2591,804)
(,192)
(,972)
(,768)
(,900)
(,72)
(2231,684)
(707,684)
(,492)
(,444)
(,120)
(,732)
(,240)
(299,1104)
(2839,888)
(2799,876)
(2915,912)
(1207,912)
(763,912)
(1203,912)
(,48)
(1327,60)
(1331,60)
(1335,60)
(1339,60)
(1343,60)
(1347,60)
(2131,696)
(2135,696)
(,480)
(,456)
(1471,132)
(,708)
(,720)
(3291,1128)
(,252)
(,1116)
(,468)
(,864)
