(2109,898)
(1205,898)
(1,898)
(1989,898)
(1521,898)
(1,898)
(1661,442)
(1665,442)
(1669,442)
(573,442)
(1,442)
(1673,442)
(1361,70)
(1365,70)
(1205,910)
(721,910)
(1541,910)
(1,910)
(121,910)
(121,910)
(2913,910)
(1,910)
(2269,694)
(1033,874)
(5,874)
(1941,874)
(1033,874)
(1033,874)
(1205,1078)
(1541,1078)
(1,1078)
(1,1078)
(1889,526)
(1893,526)
(1897,526)
(1897,526)
(1901,526)
(1857,490)
(625,1090)
(1609,1090)
(1,1090)
(1141,1090)
(3257,1090)
(1553,1090)
(3261,1090)
(2561,1090)
(1337,1090)
(1,1090)
(1165,346)
(905,346)
(1573,346)
(541,346)
(1,622)
(1113,622)
(2049,622)
(1,970)
(1,970)
(1,970)
(3041,970)
(2101,634)
(1,142)
(1481,142)
(2465,778)
(2465,778)
(2469,778)
(2473,778)
(2477,778)
(2481,778)
(2485,778)
(2489,778)
(2473,778)
(2493,778)
(2497,778)
(2501,778)
(2505,778)
(2509,778)
(2513,778)
(2517,778)
(2521,778)
(2525,778)
(2529,778)
(2529,778)
(2533,778)
(2537,778)
(2541,778)
(1205,382)
(1597,382)
(1597,382)
(1,382)
(2453,790)
(1,586)
(2009,586)
(2013,586)
(1,586)
(2009,586)
(2017,586)
(1529,550)
(1533,550)
(1,550)
(1205,370)
(1,370)
(1,562)
(1525,562)
(1,946)
(1621,946)
(349,946)
(1113,946)
(1,1102)
(1,514)
(1,514)
(1865,514)
(1869,514)
(2765,886)
(45,46)
(45,46)
(1325,46)
(45,46)
(1,46)
(1485,274)
(625,274)
(953,274)
(889,274)
(885,274)
(1113,274)
(1489,274)
(1493,274)
(1497,274)
(1501,274)
(2197,670)
(2201,670)
(2205,670)
(2209,670)
(2213,670)
(1,670)
(2141,658)
(2145,658)
(2145,658)
(1,658)
