(2251,678)
(2251,678)
(3003,1062)
(1631,1062)
(1383,78)
(3063,1074)
(,726)
(1823,450)
(1827,450)
(447,450)
(1831,450)
(815,450)
(1835,450)
(1895,486)
(1899,486)
(1903,486)
(2271,690)
(,90)
(299,294)
(1539,294)
(,870)
(,858)
(,1110)
(,642)
(,246)
(,42)
(,534)
(51,54)
(1927,522)
(1931,522)
(,654)
(,126)
(,318)
(,330)
(2711,906)
(2715,906)
(1171,906)
(2711,906)
(2719,906)
(2723,906)
(2711,906)
(3127,1098)
(,222)
(,342)
(,786)
(,354)
(1655,426)
(1659,426)
(1663,426)
(,618)
(543,630)
(1971,630)
(1975,630)
(1979,630)
(1983,630)
(1987,630)
(1991,630)
(1011,1002)
(2887,1002)
(2323,750)
(2327,750)
(1259,18)
(1263,18)
(1279,546)
(1303,30)
(1307,30)
(1035,30)
(,234)
(,378)
(,966)
(2063,594)
(2047,582)
(1035,582)
(763,582)
(2051,582)
(,810)
(,186)
(,390)
(,150)
(,798)
(,834)
(,438)
(,606)
(,174)
(,558)
(2023,570)
(2023,570)
(2027,570)
(1187,570)
(1035,570)
(771,570)
(2027,570)
(2031,570)
(2035,570)
(,162)
(1223,6)
(1227,6)
(1231,6)
(1235,6)
(1239,6)
(1243,6)
(1247,6)
(1251,6)
(2459,822)
(2459,822)
(,198)
(,402)
(,1146)
(2407,774)
(2411,774)
(2407,774)
(2415,774)
(,990)
(,210)
(,762)
(1171,414)
(415,414)
(1691,414)
(1171,414)
(415,414)
(1171,414)
(415,414)
(1691,414)
(,366)
(,978)
(2239,738)
(2239,738)
(2239,738)
(2243,738)
(2243,738)
(2247,738)
(,1122)
(,102)
(2679,894)
(2683,894)
(2683,894)
(2679,894)
(,498)
(,882)
(,114)
(,666)
(,510)
(,66)
(,1050)
(,702)
(,138)
(1551,306)
(1555,306)
(1867,474)
(1871,474)
(,1086)
(,918)
(,930)
(,846)
(,462)
(,714)
(,270)
(,258)
