(,863)
(2983,1043)
(,491)
(,719)
(,731)
(,647)
(1579,323)
(,479)
(1571,875)
(,1055)
(,1079)
(1283,23)
(1287,23)
(1291,23)
(1287,23)
(2711,911)
(2715,911)
(1171,911)
(2711,911)
(2719,911)
(2723,911)
(2711,911)
(,455)
(,131)
(,119)
(,1091)
(899,899)
(2691,899)
(923,899)
(1059,899)
(1035,443)
(771,443)
(1759,443)
(,251)
(,1127)
(,287)
(,35)
(,683)
(,155)
(1731,431)
(1735,431)
(1191,431)
(427,419)
(427,419)
(1695,419)
(427,419)
(1699,419)
(1703,419)
(1707,419)
(1711,419)
(1715,419)
(1719,419)
(1723,419)
(1727,419)
(,551)
(,587)
(,47)
(,395)
(,815)
(911,803)
(1647,383)
(,779)
(143,143)
(1491,143)
(1599,635)
(1599,635)
(1599,635)
(1603,635)
(1607,635)
(1611,635)
(1611,635)
(1615,635)
(763,635)
(1531,635)
(1531,635)
(,83)
(,191)
(,839)
(1011,1019)
(379,1019)
(719,1019)
(2939,1019)
(2655,1151)
(,971)
(,959)
(,743)
(1391,95)
(1395,95)
(1399,95)
(1403,95)
(1407,95)
(1411,95)
(1415,95)
(1419,95)
(1423,95)
(1427,95)
(1427,95)
(1431,95)
(1435,95)
(1439,95)
(1443,95)
(,227)
(1599,347)
(1599,347)
(1599,347)
(1603,347)
(1607,347)
(1611,347)
(1611,347)
(1615,347)
(763,347)
(1531,347)
(1531,347)
(,623)
(,179)
(,983)
(,767)
(,203)
(1203,611)
(1203,611)
(2071,611)
(607,611)
(1035,611)
(,407)
(,215)
(,995)
(,599)
(,71)
(,59)
(2887,1007)
(,947)
(,563)
(,239)
(,371)
(,359)
(,167)
(,575)
(,671)
(,659)
(,275)
(3131,1103)
(1615,1103)
(1203,1103)
(1203,1103)
(1203,1103)
(607,1103)
(1035,1103)
(763,1103)
(3135,1103)
(3135,1103)
(,923)
(,11)
(,1115)
(,935)
(1959,539)
(1963,539)
(1967,539)
(,263)
(,887)
(,515)
(,1139)
(,299)
(,851)
(3007,1067)
(,503)
(1563,311)
(1567,311)
(1571,311)
(1467,107)
(1467,107)
(1467,107)
