(2320,747)
(2044,579)
(24,1155)
(3200,1155)
(3204,1155)
(2432,1155)
(1180,1035)
(1600,1035)
(1600,1035)
(1600,1035)
(1604,1035)
(1204,1035)
(1180,1035)
(1608,1035)
(1612,1035)
(1616,1035)
(2884,999)
(1972,543)
(1972,543)
(1976,543)
(1980,543)
(1984,543)
(1988,543)
(1620,351)
(1624,351)
(16,351)
(16,351)
(1576,351)
(1088,351)
(3184,1143)
(3188,1143)
(3192,1143)
(1764,447)
(1768,447)
(24,447)
(1772,447)
(1776,447)
(1780,447)
(1784,447)
(1772,447)
(1776,447)
(1780,447)
(1784,447)
(1764,447)
(1768,447)
(24,447)
(1204,903)
(2708,903)
(1180,903)
(712,687)
(2252,687)
(496,1131)
(496,1131)
(3152,1131)
(496,1131)
(3152,1131)
(3156,1131)
(3160,1131)
(496,1131)
(3140,1119)
(1092,1119)
(3144,1119)
(1296,27)
(1300,27)
(1740,915)
(2740,915)
(1924,519)
(2820,939)
(2820,939)
(1204,939)
(2820,939)
(2820,939)
(2824,939)
(2828,939)
(1880,483)
(1884,483)
(1888,483)
(320,1059)
(908,315)
(1572,315)
(1204,3)
(1208,3)
(2480,855)
(2484,855)
(2768,927)
(2772,927)
(2776,927)
(2780,927)
(2784,927)
(2788,927)
(2792,927)
(2796,927)
(1664,411)
(1668,411)
(1672,411)
(1676,411)
(2864,1011)
(2868,1011)
(2872,1011)
(2876,1011)
(2880,1011)
(2884,1011)
(2888,1011)
(24,639)
(24,639)
(2148,639)
(2148,639)
(2084,615)
(2084,615)
(2084,615)
(1180,615)
(2088,615)
(1380,75)
(2136,819)
(2136,819)
(1204,819)
(1180,819)
(2136,819)
(2140,819)
(2140,819)
(2144,819)
(1204,831)
(1180,831)
(2468,831)
(2468,831)
(2468,831)
(2480,951)
(2484,951)
(1992,987)
